Ano;Codigo del Departamento;Nombre del Departamento;TECNICA PROFESIONAL;TECNOLOGICA;UNIVERSITARIA;ESPECIALIZACION;MAESTRIA;DOCTORADO
2020;95;Guaviare;1;1476;648;6;0;0
2020;97;Vaupés;1;59;211;19;0;0
2020;99;Vichada;0;342;200;7;1;0
2021;5;Antioquia;3695;89589;206982;11108;7468;1515
2021;8;Atlántico;7885;22642;91721;4249;2282;388
2021;11;Bogotá, D.C.;29369;254058;460279;56147;31302;2410
2021;13;Bolívar;1626;23600;45437;1620;3627;92
2021;15;Boyacá;2706;13093;47538;3432;1867;150
2021;17;Caldas;2961;6866;31937;1841;2357;509
2021;18;Caquetá;0;1724;11382;302;232;32
2021;19;Cauca;0;11036;34077;1309;954;185
2021;20;Cesar;0;8384;31319;330;270;0
2021;23;Córdoba;410;3593;37706;782;162;0
2021;25;Cundinamarca;1955;26331;50150;2020;1383;94
2021;27;Chocó;263;791;15687;345;257;0
2021;41;Huila;528;10425;30509;880;1099;34
2021;44;La Guajira;1324;3842;14846;98;553;2
2021;47;Magdalena;4516;5610;31100;1120;485;72
2021;50;Meta;939;5262;28531;1126;278;9
2021;52;Nariño;0;4650;37877;1604;1473;56
2021;54;Norte De Santander;295;13298;55446;1549;1329;55
2021;63;Quindío;4;7182;18060;527;279;62
2021;66;Risaralda;1550;9696;33648;1656;1570;250
2021;68;Santander;1560;35029;69687;8373;8124;195
2021;70;Sucre;522;2739;22498;472;183;1
2021;73;Tolima;3166;12754;33322;859;221;0
2021;76;Valle Del Cauca;7383;36447;115026;6222;4761;844
2021;81;Arauca;0;599;1415;96;0;0
2021;85;Casanare;500;1902;7361;280;67;0
2021;86;Putumayo;0;3756;2452;33;122;0
2021;88;Archipiélago De San Andrés, Providencia Y Santa Catalina;918;467;99;11;10;7
2021;91;Amazonas;23;329;315;44;37;12
2021;94;Guainía;0;410;261;16;4;0
2021;95;Guaviare;0;1227;983;43;10;0
2021;97;Vaupés;0;40;172;0;0;0
2021;99;Vichada;0;308;370;24;43;0
